@RELATION BD_IMDB-BINARY_1
@ATTRIBUTE class {c1,c2}
@ATTRIBUTE p_0_x_1 NUMERIC
@ATTRIBUTE p_0_x_2 NUMERIC
@ATTRIBUTE p_0_x_3 NUMERIC
@ATTRIBUTE p_0_x_4 NUMERIC
@ATTRIBUTE p_0_x_5 NUMERIC
@ATTRIBUTE p_0_x_6 NUMERIC
@ATTRIBUTE p_0_x_7 NUMERIC
@ATTRIBUTE p_0_x_8 NUMERIC
@ATTRIBUTE p_0_x_9 NUMERIC
@ATTRIBUTE p_0_x_10 NUMERIC
@ATTRIBUTE p_0_x_11 NUMERIC
@ATTRIBUTE p_0_x_12 NUMERIC
@ATTRIBUTE p_0_x_13 NUMERIC
@ATTRIBUTE p_0_x_14 NUMERIC
@ATTRIBUTE p_0_x_15 NUMERIC
@ATTRIBUTE p_0_x_16 NUMERIC
@ATTRIBUTE p_0_x_17 NUMERIC
@ATTRIBUTE p_0_x_18 NUMERIC
@ATTRIBUTE p_0_x_19 NUMERIC
@ATTRIBUTE p_0_x_20 NUMERIC
@ATTRIBUTE p_0_x_21 NUMERIC
@ATTRIBUTE p_0_x_22 NUMERIC
@ATTRIBUTE p_0_x_23 NUMERIC
@ATTRIBUTE p_0_x_24 NUMERIC
@ATTRIBUTE p_0_x_25 NUMERIC
@ATTRIBUTE p_0_x_26 NUMERIC
@ATTRIBUTE p_0_x_27 NUMERIC
@ATTRIBUTE p_0_x_28 NUMERIC
@ATTRIBUTE p_0_x_29 NUMERIC
@ATTRIBUTE p_0_x_30 NUMERIC
@ATTRIBUTE p_0_x_31 NUMERIC
@ATTRIBUTE p_0_x_32 NUMERIC
@ATTRIBUTE p_0_x_33 NUMERIC
@ATTRIBUTE p_0_x_34 NUMERIC
@ATTRIBUTE p_0_x_35 NUMERIC
@ATTRIBUTE p_0_x_36 NUMERIC
@ATTRIBUTE p_0_x_37 NUMERIC
@ATTRIBUTE p_0_x_38 NUMERIC
@ATTRIBUTE p_0_x_39 NUMERIC
@ATTRIBUTE p_0_x_40 NUMERIC
@ATTRIBUTE p_0_x_41 NUMERIC
@ATTRIBUTE p_0_x_42 NUMERIC
@ATTRIBUTE p_0_x_43 NUMERIC
@ATTRIBUTE p_0_x_44 NUMERIC
@ATTRIBUTE p_0_x_45 NUMERIC
@ATTRIBUTE p_0_x_46 NUMERIC
@ATTRIBUTE p_0_x_47 NUMERIC
@ATTRIBUTE p_0_x_48 NUMERIC
@ATTRIBUTE p_0_x_49 NUMERIC
@ATTRIBUTE p_0_x_50 NUMERIC
@ATTRIBUTE p_0_x_51 NUMERIC
@ATTRIBUTE p_0_x_52 NUMERIC
@ATTRIBUTE p_0_x_53 NUMERIC
@ATTRIBUTE p_0_x_54 NUMERIC
@ATTRIBUTE p_0_x_55 NUMERIC
@ATTRIBUTE p_0_x_56 NUMERIC
@ATTRIBUTE p_0_x_57 NUMERIC
@ATTRIBUTE p_0_x_58 NUMERIC
@ATTRIBUTE p_0_x_59 NUMERIC
@ATTRIBUTE p_0_x_60 NUMERIC
@ATTRIBUTE p_0_x_61 NUMERIC
@ATTRIBUTE p_0_x_62 NUMERIC
@ATTRIBUTE p_0_x_63 NUMERIC
@ATTRIBUTE p_0_x_64 NUMERIC
@ATTRIBUTE p_0_x_65 NUMERIC
@ATTRIBUTE p_0_x_66 NUMERIC
@ATTRIBUTE p_0_x_67 NUMERIC
@ATTRIBUTE p_0_x_68 NUMERIC
@ATTRIBUTE p_0_x_69 NUMERIC
@ATTRIBUTE p_0_x_70 NUMERIC
@ATTRIBUTE p_0_x_71 NUMERIC
@ATTRIBUTE p_1_x_1 NUMERIC
@ATTRIBUTE p_1_x_2 NUMERIC
@ATTRIBUTE p_1_x_3 NUMERIC
@ATTRIBUTE p_1_x_4 NUMERIC
@ATTRIBUTE p_1_x_5 NUMERIC
@ATTRIBUTE p_1_x_6 NUMERIC
@ATTRIBUTE p_1_x_7 NUMERIC
@ATTRIBUTE p_1_x_8 NUMERIC
@ATTRIBUTE p_1_x_9 NUMERIC
@ATTRIBUTE p_1_x_10 NUMERIC
@ATTRIBUTE p_1_x_11 NUMERIC
@ATTRIBUTE p_2_x_1 NUMERIC
@ATTRIBUTE p_2_x_2 NUMERIC
@ATTRIBUTE p_2_x_3 NUMERIC
@ATTRIBUTE p_2_x_4 NUMERIC
@ATTRIBUTE p_2_x_5 NUMERIC
@ATTRIBUTE p_2_x_6 NUMERIC
@ATTRIBUTE p_2_x_7 NUMERIC
@ATTRIBUTE p_2_x_8 NUMERIC
@ATTRIBUTE p_2_x_9 NUMERIC
@ATTRIBUTE p_2_x_10 NUMERIC
@ATTRIBUTE p_3_x_1 NUMERIC
@ATTRIBUTE p_3_x_2 NUMERIC
@ATTRIBUTE p_3_x_3 NUMERIC
@ATTRIBUTE p_3_x_4 NUMERIC
@ATTRIBUTE p_3_x_5 NUMERIC
@ATTRIBUTE p_3_x_6 NUMERIC
@ATTRIBUTE p_3_x_7 NUMERIC
@ATTRIBUTE p_3_x_8 NUMERIC
@ATTRIBUTE p_3_x_9 NUMERIC
@ATTRIBUTE p_3_x_10 NUMERIC
@ATTRIBUTE p_3_x_11 NUMERIC
@ATTRIBUTE p_4_x_1 NUMERIC
@ATTRIBUTE p_4_x_2 NUMERIC
@ATTRIBUTE p_5_x_1 NUMERIC
@ATTRIBUTE p_5_x_2 NUMERIC
@ATTRIBUTE p_5_x_3 NUMERIC
@ATTRIBUTE p_5_x_4 NUMERIC
@ATTRIBUTE p_5_x_5 NUMERIC
@ATTRIBUTE p_5_x_6 NUMERIC
@ATTRIBUTE p_5_x_7 NUMERIC
@ATTRIBUTE p_5_x_8 NUMERIC
@ATTRIBUTE p_5_x_9 NUMERIC
@ATTRIBUTE p_5_x_10 NUMERIC
@ATTRIBUTE p_5_x_11 NUMERIC
@DATA
c1,0,0,0,0.044674,0.0283913,0.118238,0.15679,0,0.286642,0,0,0.159658,0.0879099,0,0,0,0,0,0,0.117698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201881,0,0.314783,0,0,0.277362,0.0883516,0.117622,0,0.159761,0.0878714,0.0446782,0.0285339,0.118298,0.156483,0,0.286681,0.117693,0.159566,0.0886921,0,0.0445061,0,0,0,0.0268316,0.563201,0,0.117203,0.600181,0.399819,0,0.159338,0.0269823,0,0.117521,0.159174,0.331151,0.0883948,0,0,0.117439
c1,0,0,0,0,0.127687,0.211006,0.171066,0,0,0,0.255374,0,0,0.0488816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903219,0.144941,0.246057,0.289882,0.048188,0,0.18061,0.255234,0.186003,0,0.0488832,0.127617,0.211121,0.171142,0,0,0,0,0,0.188039,0,0,0,0,0.346969,0,0,0.464991,0.715477,0.284523,0,0,0.186001,0.048883,0,0.127624,0.171134,0.255248,0,0,0.211109
c1,0,0,0,0,0,0.326298,0.0422613,0,0,0.63144,0,0,0,0,0,0,0,0,0,0,1.83641e-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.83632e-007,0,0,0,0,0.326298,0.0422613,0,0,0.63144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.67246e-010,0,0,0,0,0.860082,0,0.139918
c1,0,0,0,0,0,0.353686,0.244901,0.0172698,0,0.0476296,0,0,0.0989761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946679,0,0,0,0,0.14287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656107,0.0427172,0.133492,0.0846825,0.181198,0.0566861,0.0425756,0.0142384,0.127666,0.116904,0.134229,0,0,0.10042,0,0.141844,0.352377,0.243245,0.017505,0,0.144609,0.208292,0.0509147,0,0,0.0694089,0.0277629,0.0832902,0.0324663,0.36587,0,0.161995,0.95018,0.0498201,0,0,0.0740361,0.0462733,0.185106,0.2547,0.194618,0,0.245267,0,0
c1,0,0,0,0,0,0,0.186043,0,0.682765,0,0,0,0,0.131192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186283,0.683045,0,0,0.130673,0,0,0,0.130611,0,0,0.186313,0,0.683076,0,0.114897,0,0,0,0,0,0,0,0,0,0.885103,0.885103,0.114897,0.130673,0,0,0,0,0,0.186283,0.683045,0,0,0
c1,0.980229,0,0,0,0.000659019,0.00716683,0.00420125,0.00370698,0,0.000494264,0.000494264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23774e-005,0,0,0,0,8.23774e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980601,0,0.000162337,0,0.0030844,0.00194804,0.00584413,0.000974022,0.00397726,0.000487011,0.00292207,0.967987,0,0.0128213,0,0.000867953,0.00839021,0.0049184,0.00433976,0,0.000675074,0.16835,0,0,0,0.0130208,0,0.1161,0.0261103,0.425588,0,0.250831,0.998365,0.0016346,0,0.0982226,0.0215493,0.226477,0.13615,0.0359785,0.40603,0.0755929,0,0,0
c1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
c1,0,0,0,0,0,0,0,0.33292,0.475567,0,0,0,0,0,0.191513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950549,0,0,0.0494514,0,0,0,0,0.191513,0,0,0.33292,0.475568,0,0.0494514,0,0,0,0,0,0,0,0,0,0.950549,0.647725,0.352275,0,0,0,0,0,0.191513,0,0.33292,0,0,0.475568
c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
c1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
